Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Mar 28, 2021",$16.48,$19.39,$16.35,$18.02,"$426,120,062","$4,829,519,370",SOL
"Mar 27, 2021",$14.79,$16.80,$14.76,$16.51,"$223,872,587","$4,425,303,443",SOL
"Mar 26, 2021",$13.02,$14.80,$12.37,$14.78,"$149,987,319","$3,950,586,428",SOL
"Mar 25, 2021",$13.65,$13.71,$12.61,$13.03,"$116,277,943","$3,479,892,567",SOL
"Mar 24, 2021",$14.19,$15.37,$13.66,$13.66,"$118,813,690","$3,649,871,266",SOL
"Mar 23, 2021",$14.85,$15.24,$14.10,$14.20,"$106,780,662","$3,801,136,716",SOL
"Mar 22, 2021",$14.35,$16.60,$14.20,$14.92,"$260,995,136","$3,990,311,753",SOL
"Mar 21, 2021",$14.22,$14.37,$13.67,$14.33,"$64,229,338","$3,833,292,243",SOL
"Mar 20, 2021",$14.20,$14.98,$14.15,$14.21,"$68,049,683","$3,801,139,605",SOL
"Mar 19, 2021",$14.23,$14.49,$13.93,$14.20,"$68,715,211","$3,797,317,089",SOL
"Mar 18, 2021",$14.21,$14.75,$13.83,$14.23,"$79,074,263","$3,804,064,054",SOL
"Mar 17, 2021",$13.63,$14.27,$13.13,$14.22,"$94,696,339","$3,799,767,227",SOL
"Mar 16, 2021",$14.16,$14.28,$13.23,$13.62,"$112,303,590","$3,640,763,691",SOL
"Mar 15, 2021",$14.48,$14.79,$13.70,$14.19,"$102,600,692","$3,791,467,511",SOL
"Mar 14, 2021",$15.30,$15.35,$14.38,$14.51,"$90,232,804","$3,875,721,099",SOL
"Mar 13, 2021",$14.56,$15.39,$13.92,$15.31,"$145,102,757","$4,089,578,510",SOL
"Mar 12, 2021",$16.02,$16.49,$14.11,$14.55,"$185,287,457","$3,887,447,694",SOL
"Mar 11, 2021",$14.22,$16.24,$13.70,$15.99,"$229,272,516","$4,270,242,448",SOL
"Mar 10, 2021",$14.85,$15.19,$14.08,$14.23,"$103,150,901","$3,792,593,486",SOL
"Mar 09, 2021",$13.62,$14.99,$13.32,$14.85,"$134,867,044","$3,948,141,943",SOL
"Mar 08, 2021",$13.83,$13.87,$13.08,$13.60,"$115,525,659","$3,562,414,837",SOL
"Mar 07, 2021",$13.04,$14.00,$12.73,$13.88,"$117,548,176","$3,634,579,983",SOL
"Mar 06, 2021",$12.57,$13.27,$11.90,$13.04,"$118,851,546","$3,414,250,123",SOL
"Mar 05, 2021",$13.07,$13.08,$12.18,$12.61,"$90,978,408","$3,302,676,699",SOL
"Mar 04, 2021",$14.09,$14.26,$12.77,$13.10,"$116,364,466","$3,430,363,627",SOL
"Mar 03, 2021",$13.96,$14.73,$13.77,$14.12,"$153,830,742","$3,696,875,107",SOL
"Mar 02, 2021",$14.97,$15.22,$13.46,$13.96,"$178,549,852","$3,655,843,424",SOL
"Mar 01, 2021",$13.11,$15.52,$13.06,$14.96,"$306,451,693","$3,916,870,452",SOL
"Feb 28, 2021",$13.21,$13.78,$11.49,$13.09,"$300,493,226","$3,428,075,567",SOL
"Feb 27, 2021",$13.60,$14.61,$13.06,$13.20,"$247,640,940","$3,457,387,613",SOL
"Feb 26, 2021",$13.87,$15.48,$13.12,$13.59,"$289,687,328","$3,558,683,581",SOL
"Feb 25, 2021",$17.23,$17.70,$13.80,$13.82,"$364,505,276","$3,618,415,995",SOL
"Feb 24, 2021",$15.21,$18.15,$14.86,$17.30,"$375,439,707","$4,531,581,357",SOL
"Feb 23, 2021",$14.42,$15.74,$11.60,$15.20,"$485,252,846","$3,981,284,943",SOL
"Feb 22, 2021",$11.07,$14.55,$9.2559,$14.45,"$574,136,241","$3,785,710,139",SOL
"Feb 21, 2021",$9.9876,$11.64,$9.8870,$11.09,"$137,742,366","$2,903,297,330",SOL
"Feb 20, 2021",$11.48,$11.79,$9.8159,$10.00,"$140,264,810","$2,619,699,068",SOL
"Feb 19, 2021",$8.9800,$11.68,$8.5570,$11.47,"$261,175,711","$3,002,856,057",SOL
"Feb 18, 2021",$8.2329,$9.2792,$8.2329,$8.9805,"$77,306,770","$2,351,981,649",SOL
"Feb 17, 2021",$8.2987,$8.4333,$7.5444,$8.2226,"$89,948,578","$2,153,494,093",SOL
"Feb 16, 2021",$8.8607,$8.9804,$7.9836,$8.2979,"$71,625,205","$2,173,212,554",SOL
"Feb 15, 2021",$8.7243,$9.3106,$7.8405,$8.8617,"$109,854,635","$2,320,890,605",SOL
"Feb 14, 2021",$8.7430,$9.2203,$8.5597,$8.7389,"$93,500,423","$2,288,717,995",SOL
"Feb 13, 2021",$9.2360,$9.4990,$8.6830,$8.7325,"$91,417,968","$2,287,031,137",SOL
"Feb 12, 2021",$9.2148,$9.9245,$9.0790,$9.2470,"$91,484,664","$2,421,793,705",SOL
"Feb 11, 2021",$9.0804,$9.7070,$8.7613,$9.2154,"$53,600,048","$2,413,501,984",SOL
"Feb 10, 2021",$7.8186,$9.0726,$7.6138,$9.0722,"$120,679,902","$2,376,014,106",SOL
"Feb 09, 2021",$7.8698,$8.4678,$7.5702,$7.8168,"$121,037,873","$2,047,219,103",SOL
"Feb 08, 2021",$6.7024,$8.0559,$6.4889,$7.8832,"$155,254,261","$2,064,624,150",SOL
"Feb 07, 2021",$6.1176,$6.8715,$5.7686,$6.7005,"$105,451,103","$1,754,852,114",SOL
"Feb 06, 2021",$6.6873,$6.7991,$5.7138,$6.1108,"$102,365,494","$1,600,421,107",SOL
"Feb 05, 2021",$6.4354,$7.1271,$6.4264,$6.6817,"$92,892,157","$1,749,943,463",SOL
"Feb 04, 2021",$5.7317,$6.5310,$5.6032,$6.4261,"$108,249,482","$1,682,987,249",SOL
"Feb 03, 2021",$5.2466,$5.7808,$5.0727,$5.7160,"$49,386,327","$1,497,018,527",SOL
"Feb 02, 2021",$4.6137,$5.4036,$4.4801,$5.2675,"$98,755,962","$1,379,560,961",SOL
"Feb 01, 2021",$4.2613,$4.6116,$4.1183,$4.6116,"$39,361,629","$1,207,779,153",SOL
"Jan 31, 2021",$4.2373,$4.7870,$4.1705,$4.2641,"$78,376,267","$1,116,779,909",SOL
"Jan 30, 2021",$3.8377,$4.3120,$3.7741,$4.2243,"$53,378,198","$1,106,338,354",SOL
"Jan 29, 2021",$3.8616,$3.8926,$3.6394,$3.8347,"$44,053,151","$1,004,302,165",SOL
"Jan 28, 2021",$3.6864,$3.9435,$3.6099,$3.8221,"$31,410,527","$1,001,001,164",SOL
"Jan 27, 2021",$4.0486,$4.0486,$3.5316,$3.6906,"$35,195,110","$966,565,280",SOL
"Jan 26, 2021",$3.6990,$4.0969,$3.6826,$4.0473,"$78,823,456","$1,060,001,508",SOL
"Jan 25, 2021",$3.6346,$3.9744,$3.4513,$3.7000,"$80,055,958","$969,025,482",SOL
"Jan 24, 2021",$3.5071,$3.7930,$3.4895,$3.6344,"$32,747,555","$951,852,780",SOL
"Jan 23, 2021",$3.3410,$3.5973,$3.3158,$3.5041,"$27,904,470","$917,727,296",SOL
"Jan 22, 2021",$2.9899,$3.4971,$2.5410,$3.3462,"$63,361,382","$876,377,707",SOL
"Jan 21, 2021",$3.7217,$3.7343,$2.9827,$2.9905,"$43,834,765","$783,221,763",SOL
"Jan 20, 2021",$3.6356,$3.7370,$3.3441,$3.7236,"$46,698,656","$975,205,612",SOL
"Jan 19, 2021",$3.7920,$4.0314,$3.6090,$3.6419,"$44,547,768","$953,805,116",SOL
"Jan 18, 2021",$3.8221,$4.1479,$3.6558,$3.7955,"$70,601,713","$994,045,884",SOL
"Jan 17, 2021",$3.4349,$3.9654,$3.3197,$3.8181,"$85,407,766","$999,971,153",SOL
"Jan 16, 2021",$3.2489,$3.7032,$3.2489,$3.4471,"$68,035,606","$902,784,094",SOL
"Jan 15, 2021",$3.2804,$3.4359,$2.9852,$3.2502,"$45,331,739","$851,217,713",SOL
